date,weekday,day,month,year
2020-01-01,3,1,1,2020
2020-01-02,4,2,1,2020
2020-01-03,5,3,1,2020
2020-01-04,6,4,1,2020
2020-01-05,7,5,1,2020
2020-01-06,1,6,1,2020
2020-01-07,2,7,1,2020
2020-01-08,3,8,1,2020
2020-01-09,4,9,1,2020
2020-01-10,5,10,1,2020
2020-01-11,6,11,1,2020
2020-01-12,7,12,1,2020
2020-01-13,1,13,1,2020
2020-01-14,2,14,1,2020
2020-01-15,3,15,1,2020
2020-01-16,4,16,1,2020
2020-01-17,5,17,1,2020
2020-01-18,6,18,1,2020
2020-01-19,7,19,1,2020
2020-01-20,1,20,1,2020
2020-01-21,2,21,1,2020
2020-01-22,3,22,1,2020
2020-01-23,4,23,1,2020
2020-01-24,5,24,1,2020
2020-01-25,6,25,1,2020
2020-01-26,7,26,1,2020
2020-01-27,1,27,1,2020
2020-01-28,2,28,1,2020
2020-01-29,3,29,1,2020
2020-01-30,4,30,1,2020
2020-01-31,5,31,1,2020
2020-02-01,6,1,2,2020
2020-02-02,7,2,2,2020
2020-02-03,1,3,2,2020
2020-02-04,2,4,2,2020
2020-02-05,3,5,2,2020
2020-02-06,4,6,2,2020
2020-02-07,5,7,2,2020
2020-02-08,6,8,2,2020
2020-02-09,7,9,2,2020
2020-02-10,1,10,2,2020
2020-02-11,2,11,2,2020
2020-02-12,3,12,2,2020
2020-02-13,4,13,2,2020
2020-02-14,5,14,2,2020
2020-02-15,6,15,2,2020
2020-02-16,7,16,2,2020
2020-02-17,1,17,2,2020
2020-02-18,2,18,2,2020
2020-02-19,3,19,2,2020
2020-02-20,4,20,2,2020
2020-02-21,5,21,2,2020
2020-02-22,6,22,2,2020
2020-02-23,7,23,2,2020
2020-02-24,1,24,2,2020
2020-02-25,2,25,2,2020
2020-02-26,3,26,2,2020
2020-02-27,4,27,2,2020
2020-02-28,5,28,2,2020
2020-02-29,6,29,2,2020
2020-03-01,7,1,3,2020
2020-03-02,1,2,3,2020
2020-03-03,2,3,3,2020
2020-03-04,3,4,3,2020
2020-03-05,4,5,3,2020
2020-03-06,5,6,3,2020
2020-03-07,6,7,3,2020
2020-03-08,7,8,3,2020
2020-03-09,1,9,3,2020
2020-03-10,2,10,3,2020
2020-03-11,3,11,3,2020
2020-03-12,4,12,3,2020
2020-03-13,5,13,3,2020
2020-03-14,6,14,3,2020
2020-03-15,7,15,3,2020
2020-03-16,1,16,3,2020
2020-03-17,2,17,3,2020
2020-03-18,3,18,3,2020
2020-03-19,4,19,3,2020
2020-03-20,5,20,3,2020
2020-03-21,6,21,3,2020
2020-03-22,7,22,3,2020
2020-03-23,1,23,3,2020
2020-03-24,2,24,3,2020
2020-03-25,3,25,3,2020
2020-03-26,4,26,3,2020
2020-03-27,5,27,3,2020
2020-03-28,6,28,3,2020
2020-03-29,7,29,3,2020
2020-03-30,1,30,3,2020
2020-03-31,2,31,3,2020
2020-04-01,3,1,4,2020
2020-04-02,4,2,4,2020
2020-04-03,5,3,4,2020
2020-04-04,6,4,4,2020
2020-04-05,7,5,4,2020
2020-04-06,1,6,4,2020
2020-04-07,2,7,4,2020
2020-04-08,3,8,4,2020
2020-04-09,4,9,4,2020
2020-04-10,5,10,4,2020
2020-04-11,6,11,4,2020
2020-04-12,7,12,4,2020
2020-04-13,1,13,4,2020
2020-04-14,2,14,4,2020
2020-04-15,3,15,4,2020
2020-04-16,4,16,4,2020
2020-04-17,5,17,4,2020
2020-04-18,6,18,4,2020
2020-04-19,7,19,4,2020
2020-04-20,1,20,4,2020
2020-04-21,2,21,4,2020
2020-04-22,3,22,4,2020
2020-04-23,4,23,4,2020
2020-04-24,5,24,4,2020
2020-04-25,6,25,4,2020
2020-04-26,7,26,4,2020
2020-04-27,1,27,4,2020
2020-04-28,2,28,4,2020
2020-04-29,3,29,4,2020
2020-04-30,4,30,4,2020
2020-05-01,5,1,5,2020
2020-05-02,6,2,5,2020
2020-05-03,7,3,5,2020
2020-05-04,1,4,5,2020
2020-05-05,2,5,5,2020
2020-05-06,3,6,5,2020
2020-05-07,4,7,5,2020
2020-05-08,5,8,5,2020
2020-05-09,6,9,5,2020
2020-05-10,7,10,5,2020
2020-05-11,1,11,5,2020
2020-05-12,2,12,5,2020
2020-05-13,3,13,5,2020
2020-05-14,4,14,5,2020
2020-05-15,5,15,5,2020
2020-05-16,6,16,5,2020
2020-05-17,7,17,5,2020
2020-05-18,1,18,5,2020
2020-05-19,2,19,5,2020
2020-05-20,3,20,5,2020
2020-05-21,4,21,5,2020
2020-05-22,5,22,5,2020
2020-05-23,6,23,5,2020
2020-05-24,7,24,5,2020
2020-05-25,1,25,5,2020
2020-05-26,2,26,5,2020
2020-05-27,3,27,5,2020
2020-05-28,4,28,5,2020
2020-05-29,5,29,5,2020
2020-05-30,6,30,5,2020
2020-05-31,7,31,5,2020
2020-06-01,1,1,6,2020
2020-06-02,2,2,6,2020
2020-06-03,3,3,6,2020
2020-06-04,4,4,6,2020
2020-06-05,5,5,6,2020
2020-06-06,6,6,6,2020
2020-06-07,7,7,6,2020
2020-06-08,1,8,6,2020
2020-06-09,2,9,6,2020
2020-06-10,3,10,6,2020
2020-06-11,4,11,6,2020
2020-06-12,5,12,6,2020
2020-06-13,6,13,6,2020
2020-06-14,7,14,6,2020
2020-06-15,1,15,6,2020
2020-06-16,2,16,6,2020
2020-06-17,3,17,6,2020
2020-06-18,4,18,6,2020
2020-06-19,5,19,6,2020
2020-06-20,6,20,6,2020
2020-06-21,7,21,6,2020
2020-06-22,1,22,6,2020
2020-06-23,2,23,6,2020
2020-06-24,3,24,6,2020
2020-06-25,4,25,6,2020
2020-06-26,5,26,6,2020
2020-06-27,6,27,6,2020
2020-06-28,7,28,6,2020
2020-06-29,1,29,6,2020
2020-06-30,2,30,6,2020
2020-07-01,3,1,7,2020
2020-07-02,4,2,7,2020
2020-07-03,5,3,7,2020
2020-07-04,6,4,7,2020
2020-07-05,7,5,7,2020
2020-07-06,1,6,7,2020
2020-07-07,2,7,7,2020
2020-07-08,3,8,7,2020
2020-07-09,4,9,7,2020
2020-07-10,5,10,7,2020
2020-07-11,6,11,7,2020
2020-07-12,7,12,7,2020
2020-07-13,1,13,7,2020
2020-07-14,2,14,7,2020
2020-07-15,3,15,7,2020
2020-07-16,4,16,7,2020
2020-07-17,5,17,7,2020
2020-07-18,6,18,7,2020
2020-07-19,7,19,7,2020
2020-07-20,1,20,7,2020
2020-07-21,2,21,7,2020
2020-07-22,3,22,7,2020
2020-07-23,4,23,7,2020
2020-07-24,5,24,7,2020
2020-07-25,6,25,7,2020
2020-07-26,7,26,7,2020
2020-07-27,1,27,7,2020
2020-07-28,2,28,7,2020
2020-07-29,3,29,7,2020
2020-07-30,4,30,7,2020
2020-07-31,5,31,7,2020
2020-08-01,6,1,8,2020
2020-08-02,7,2,8,2020
2020-08-03,1,3,8,2020
2020-08-04,2,4,8,2020
2020-08-05,3,5,8,2020
2020-08-06,4,6,8,2020
2020-08-07,5,7,8,2020
2020-08-08,6,8,8,2020
2020-08-09,7,9,8,2020
2020-08-10,1,10,8,2020
2020-08-11,2,11,8,2020
2020-08-12,3,12,8,2020
2020-08-13,4,13,8,2020
2020-08-14,5,14,8,2020
2020-08-15,6,15,8,2020
2020-08-16,7,16,8,2020
2020-08-17,1,17,8,2020
2020-08-18,2,18,8,2020
2020-08-19,3,19,8,2020
2020-08-20,4,20,8,2020
2020-08-21,5,21,8,2020
2020-08-22,6,22,8,2020
2020-08-23,7,23,8,2020
2020-08-24,1,24,8,2020
2020-08-25,2,25,8,2020
2020-08-26,3,26,8,2020
2020-08-27,4,27,8,2020
2020-08-28,5,28,8,2020
2020-08-29,6,29,8,2020
2020-08-30,7,30,8,2020
2020-08-31,1,31,8,2020
2020-09-01,2,1,9,2020
2020-09-02,3,2,9,2020
2020-09-03,4,3,9,2020
2020-09-04,5,4,9,2020
2020-09-05,6,5,9,2020
2020-09-06,7,6,9,2020
2020-09-07,1,7,9,2020
2020-09-08,2,8,9,2020
2020-09-09,3,9,9,2020
2020-09-10,4,10,9,2020
2020-09-11,5,11,9,2020
2020-09-12,6,12,9,2020
2020-09-13,7,13,9,2020
2020-09-14,1,14,9,2020
2020-09-15,2,15,9,2020
2020-09-16,3,16,9,2020
2020-09-17,4,17,9,2020
2020-09-18,5,18,9,2020
2020-09-19,6,19,9,2020
2020-09-20,7,20,9,2020
2020-09-21,1,21,9,2020
2020-09-22,2,22,9,2020
2020-09-23,3,23,9,2020
2020-09-24,4,24,9,2020
2020-09-25,5,25,9,2020
2020-09-26,6,26,9,2020
2020-09-27,7,27,9,2020
2020-09-28,1,28,9,2020
2020-09-29,2,29,9,2020
2020-09-30,3,30,9,2020
2020-10-01,4,1,10,2020
2020-10-02,5,2,10,2020
2020-10-03,6,3,10,2020
2020-10-04,7,4,10,2020
2020-10-05,1,5,10,2020
2020-10-06,2,6,10,2020
2020-10-07,3,7,10,2020
2020-10-08,4,8,10,2020
2020-10-09,5,9,10,2020
2020-10-10,6,10,10,2020
2020-10-11,7,11,10,2020
2020-10-12,1,12,10,2020
2020-10-13,2,13,10,2020
2020-10-14,3,14,10,2020
2020-10-15,4,15,10,2020
2020-10-16,5,16,10,2020
2020-10-17,6,17,10,2020
2020-10-18,7,18,10,2020
2020-10-19,1,19,10,2020
2020-10-20,2,20,10,2020
2020-10-21,3,21,10,2020
2020-10-22,4,22,10,2020
2020-10-23,5,23,10,2020
2020-10-24,6,24,10,2020
2020-10-25,7,25,10,2020
2020-10-26,1,26,10,2020
2020-10-27,2,27,10,2020
2020-10-28,3,28,10,2020
2020-10-29,4,29,10,2020
2020-10-30,5,30,10,2020
2020-10-31,6,31,10,2020
2020-11-01,7,1,11,2020
2020-11-02,1,2,11,2020
2020-11-03,2,3,11,2020
2020-11-04,3,4,11,2020
2020-11-05,4,5,11,2020
2020-11-06,5,6,11,2020
2020-11-07,6,7,11,2020
2020-11-08,7,8,11,2020
2020-11-09,1,9,11,2020
2020-11-10,2,10,11,2020
2020-11-11,3,11,11,2020
2020-11-12,4,12,11,2020
2020-11-13,5,13,11,2020
2020-11-14,6,14,11,2020
2020-11-15,7,15,11,2020
2020-11-16,1,16,11,2020
2020-11-17,2,17,11,2020
2020-11-18,3,18,11,2020
2020-11-19,4,19,11,2020
2020-11-20,5,20,11,2020
2020-11-21,6,21,11,2020
2020-11-22,7,22,11,2020
2020-11-23,1,23,11,2020
2020-11-24,2,24,11,2020
2020-11-25,3,25,11,2020
2020-11-26,4,26,11,2020
2020-11-27,5,27,11,2020
2020-11-28,6,28,11,2020
2020-11-29,7,29,11,2020
2020-11-30,1,30,11,2020
2020-12-01,2,1,12,2020
2020-12-02,3,2,12,2020
2020-12-03,4,3,12,2020
2020-12-04,5,4,12,2020
2020-12-05,6,5,12,2020
2020-12-06,7,6,12,2020
2020-12-07,1,7,12,2020
2020-12-08,2,8,12,2020
2020-12-09,3,9,12,2020
2020-12-10,4,10,12,2020
2020-12-11,5,11,12,2020
2020-12-12,6,12,12,2020
2020-12-13,7,13,12,2020
2020-12-14,1,14,12,2020
2020-12-15,2,15,12,2020
2020-12-16,3,16,12,2020
2020-12-17,4,17,12,2020
2020-12-18,5,18,12,2020
2020-12-19,6,19,12,2020
2020-12-20,7,20,12,2020
2020-12-21,1,21,12,2020
2020-12-22,2,22,12,2020
2020-12-23,3,23,12,2020
2020-12-24,4,24,12,2020
2020-12-25,5,25,12,2020
2020-12-26,6,26,12,2020
2020-12-27,7,27,12,2020
2020-12-28,1,28,12,2020
2020-12-29,2,29,12,2020
2020-12-30,3,30,12,2020
