id,name,original_name,original_language,genres_id,networks_id
71712,The Good Doctor,The Good Doctor,en,[18],[2]
82856,The Mandalorian,The Mandalorian,en,"[10765, 10759, 37]",[2739]
62286,Fear the Walking Dead,Fear the Walking Dead,en,"[10759, 18]",[174]
87739,The Queen's Gambit,The Queen's Gambit,en,[18],[213]
94305,The Walking Dead: World Beyond,The Walking Dead: World Beyond,en,"[18, 10765, 9648]",[174]
1416,Grey's Anatomy,Grey's Anatomy,en,[18],[2]
456,The Simpsons,The Simpsons,en,"[16, 35, 10751, 18]",[19]
1399,Game of Thrones,Game of Thrones,en,"[10765, 18, 10759, 9648]",[49]
75006,The Umbrella Academy,The Umbrella Academy,en,"[10759, 10765, 35, 18]",[213]
69050,Riverdale,Riverdale,en,"[18, 9648]",[71]
1622,Supernatural,Supernatural,en,"[18, 9648, 10765]","[21, 71]"
77169,Cobra Kai,Cobra Kai,en,"[10759, 18]","[213, 1436]"
68507,His Dark Materials,His Dark Materials,en,"[18, 10765]",[4]
2734,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,en,"[80, 18]",[6]
60735,The Flash,The Flash,en,"[18, 10765]",[71]
4604,Smallville,Smallville,en,"[10759, 10765, 18]","[21, 71]"
2004,Malcolm in the Middle,Malcolm in the Middle,en,"[10751, 35, 18]",[19]
71446,Money Heist,La casa de papel,es,"[80, 18]","[213, 400]"
1396,Breaking Bad,Breaking Bad,en,[18],[174]
73671,Suburra: Blood on Rome,Suburra - La serie,it,"[80, 18]",[213]
60625,Rick and Morty,Rick and Morty,en,"[16, 35, 10765, 10759]",[80]
70523,Dark,Dark,de,"[10765, 18, 9648, 80]",[213]
66732,Stranger Things,Stranger Things,en,"[9648, 10765, 18]",[213]
12971,Dragon Ball Z,ドラゴンボールゼット,ja,"[10765, 16, 35, 10759]",[1]
1413,American Horror Story,American Horror Story,en,"[18, 9648, 10765]",[88]
34524,Teen Wolf,Teen Wolf,en,"[10765, 18]",[33]
2190,South Park,South Park,en,"[35, 16]",[47]
85723,Raised by Wolves,Raised by Wolves,en,"[10765, 18]",[3186]
1434,Family Guy,Family Guy,en,"[16, 35]",[19]
4614,NCIS,NCIS,en,"[10759, 80, 18]",[16]
1418,The Big Bang Theory,The Big Bang Theory,en,[35],[16]
5920,The Mentalist,The Mentalist,en,"[18, 80, 9648]",[16]
4057,Criminal Minds,Criminal Minds,en,"[80, 18, 9648]",[16]
58841,Chicago P.D.,Chicago P.D.,en,"[80, 18]",[6]
109958,The Haunting of Bly Manor,The Haunting of Bly Manor,en,"[9648, 18]",[213]
60708,Gotham,Gotham,en,"[18, 14, 80]",[19]
46896,The Originals,The Originals,en,"[10765, 18, 9648]",[71]
32798,Hawaii Five-0,Hawaii Five-0,en,"[28, 80, 18]",[16]
17610,NCIS: Los Angeles,NCIS: Los Angeles,en,"[10759, 18, 80, 9648]",[16]
46260,Naruto,ナルト,ja,"[16, 35, 10759, 18]",[98]
2691,Two and a Half Men,Two and a Half Men,en,[35],[16]
4686,Ben 10,Ben 10,en,"[16, 10759, 35, 10762]",[56]
1408,House,House,en,"[18, 35, 9648]",[19]
76773,Station 19,Station 19,en,"[10759, 18]",[2]
82596,Emily in Paris,Emily in Paris,en,"[18, 35]",[213]
85552,Euphoria,Euphoria,en,[18],[49]
67136,This Is Us,This Is Us,en,"[35, 18]",[6]
62715,Dragon Ball Super,ドラゴンボール超（スーパー）,ja,"[16, 10759, 10765]",[1]
31917,Pretty Little Liars,Pretty Little Liars,en,"[18, 9648]","[75, 1267]"
79242,Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,en,"[9648, 10765, 18]",[213]
1412,Arrow,Arrow,en,"[80, 18, 9648, 10759]",[71]
62710,Blindspot,Blindspot,en,"[28, 80, 18]",[6]
1403,Marvel's Agents of S.H.I.E.L.D.,Marvel's Agents of S.H.I.E.L.D.,en,"[18, 10765, 10759]",[2]
67198,Star Trek: Discovery,Star Trek: Discovery,en,"[10765, 10759]",[1709]
88713,We Are Who We Are,We Are Who We Are,en,[18],[49]
46952,The Blacklist,The Blacklist,en,"[18, 80, 9648]",[6]
90766,Teenage Bounty Hunters,Teenage Bounty Hunters,en,"[35, 10759, 80, 18]",[213]
89641,Love Alarm,좋아하면 울리는,ko,"[18, 10765]",[213]
